# Gaia_G_Mag LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity a0
-53.1828941553 3.78226337052 1.21509995646 -0.0566451208346 -0.63426329231 -0.914126893817 -0.834412827249 4000.0 6.0 -0.5 0.6
-53.0592652291 3.82116930698 1.23168284293 -0.0528333157829 -0.63860685733 -0.923482163001 -0.846719557166 4000.0 6.0 -0.5 0.7
-52.9357039001 3.86007754912 1.24830842297 -0.0489629199513 -0.642886531545 -0.932771286879 -0.858959387877 4000.0 6.0 -0.5 0.8
-52.812209684 3.89898641373 1.26497628029 -0.045034411035 -0.64710279719 -0.941994753472 -0.871132802687 4000.0 6.0 -0.5 0.9
-53.8088708643 3.55900782612 1.12000615596 -0.0845263982157 -0.604948312198 -0.850851288788 -0.756154039068 4000.0 6.0 -1.0 0.1
-53.6848200856 3.59791589238 1.1362864556 -0.0811051777283 -0.609674629712 -0.860620982692 -0.768879365415 4000.0 6.0 -1.0 0.2
-53.4369285589 3.67576193933 1.16898197185 -0.0740798824208 -0.618928463358 -0.879954723258 -0.794122138714 4000.0 6.0 -1.0 0.4
-53.0656089372 3.79258349412 1.21835624665 -0.0630920833479 -0.63231959825 -0.908448597894 -0.831473949947 4000.0 6.0 -1.0 0.7
-52.9419718185 3.83153180071 1.23490094473 -0.0593114402835 -0.636654696987 -0.917813378954 -0.843789873034 4000.0 6.0 -1.0 0.8
-53.9397002142 3.48851772724 1.0875057073 -0.0933639400548 -0.593746565912 -0.829766523325 -0.732315245223 4000.0 6.0 -1.5 0.0
-53.6913819447 3.56627596953 1.11991824243 -0.0867464056465 -0.603385441369 -0.849520595042 -0.757982810657 4000.0 6.0 -1.5 0.2
-53.4433459948 3.64408019174 1.15251294052 -0.0798828414323 -0.612757060878 -0.868998192797 -0.783370934786 4000.0 6.0 -1.5 0.4
-53.1955883945 3.72191891059 1.18528643167 -0.0727771424555 -0.621865385467 -0.888203278312 -0.808483563153 4000.0 6.0 -1.5 0.6
-53.0718127473 3.76084746382 1.20173918421 -0.0691346977992 -0.626322038127 -0.897704854898 -0.820937787784 4000.0 6.0 -1.5 0.7
-52.9481052173 3.79978007161 1.21823538629 -0.0654331623668 -0.630714327897 -0.907139770754 -0.833324599257 4000.0 6.0 -1.5 0.8
-52.8244653215 3.8387151345 1.23477463245 -0.0616730105481 -0.635042741359 -0.916508504666 -0.845644477142 4000.0 6.0 -1.5 0.9
-53.8505909832 3.70191119167 1.01795178523 -0.100105134634 -0.566797709103 -0.80919324506 -0.713090285044 4100.0 3.5 -0 0.1
-53.7261373237 3.73968396494 1.03400368146 -0.0970210595395 -0.571920126266 -0.819364456404 -0.726221777275 4100.0 3.5 -0 0.2
-53.6017570575 3.77747099724 1.05010352579 -0.0938727298898 -0.576972921244 -0.829463736661 -0.739280603735 4100.0 3.5 -0 0.3
-53.3532146982 3.85308177742 1.08244533672 -0.0873852604221 -0.58687164931 -0.849448507806 -0.765182268536 4100.0 3.5 -0 0.5
-53.2290516083 3.89090239004 1.09868644959 -0.0840471023051 -0.591718571204 -0.859334995013 -0.77802609305 4100.0 3.5 -0 0.6
-53.1049599201 3.92873100018 1.11497380067 -0.0806466440054 -0.59649785808 -0.869151540449 -0.790799238819 4100.0 3.5 -0 0.7
-52.9809391385 3.96656594039 1.13130697042 -0.0771843716612 -0.60121000012 -0.878898634627 -0.803502189893 4100.0 3.5 -0 0.8
-52.8569887743 4.00440549677 1.14768553464 -0.0736607639634 -0.605855487884 -0.888576767684 -0.816135435751 4100.0 3.5 -0 0.9
-53.9904303185 3.37425805562 0.952313214241 -0.11418358937 -0.543013315287 -0.763733513343 -0.664416639234 4100.0 3.5 -0.5 0.0
-53.8656605595 3.41254452775 0.96815178215 -0.111406593379 -0.548415175393 -0.774217957926 -0.677862595899 4100.0 3.5 -0.5 0.1
-53.7409664003 3.45085251451 0.984040250822 -0.108563185369 -0.553745245092 -0.784628270499 -0.691233700255 4100.0 3.5 -0.5 0.2
-53.6163473234 3.48918074661 0.999978178092 -0.105653870019 -0.559004039541 -0.794964969115 -0.704530463962 4100.0 3.5 -0.5 0.3
-53.3673323721 3.56589273669 1.032000642 -0.0996395357319 -0.569309845023 -0.81541955827 -0.730902998825 4100.0 3.5 -0.5 0.5
-53.118611626 3.64266975438 1.06421567362 -0.0933676038258 -0.579336657375 -0.835585798088 -0.756984250339 4100.0 3.5 -0.5 0.7
-52.9943603133 3.68107915082 1.08039431252 -0.0901362827598 -0.584246700436 -0.845562048024 -0.769916903923 4100.0 3.5 -0.5 0.8
